;angle##angle##degrees;height##length##millimeters;width##length##millimeters;depth##length##millimeters;ispolnenie##number##feet;massa##number##feet;dlina_lotka##length##millimeters
36881KKKKKKHDZ;45;100;100;0.8;2;0.53;221
36884KKKKKKHDZ;45;100;150;0.8;2;0.58;221
36883KKKKKKHDZ;45;100;200;0.8;2;0.65;221
36884KKKKKKHDZ;45;100;300;0.8;2;0.8;221
36885KKKKKKHDZ;45;100;400;0.8;2;0.95;221
36886KKKKKKHDZ;45;100;500;0.8;2;1.07;221
36887KKKKKKHDZ;45;100;600;0.8;2;1.19;221
36881KKKKKKINOX;45;100;100;0.8;3;0.53;221
36884KKKKKKINOX;45;100;150;0.8;3;0.58;221
36883KKKKKKINOX;45;100;200;0.8;3;0.65;221
36884KKKKKKINOX;45;100;300;0.8;3;0.8;221
36885KKKKKKINOX;45;100;400;0.8;3;0.95;221
36886KKKKKKINOX;45;100;500;0.8;3;1.07;221
36887KKKKKKINOX;45;100;600;0.8;3;1.19;221
36881KKKKKKZL;45;100;100;0.8;4;0.53;221
36884KKKKKKZL;45;100;150;0.8;4;0.58;221
36883KKKKKKZL;45;100;200;0.8;4;0.65;221
36884KKKKKKZL;45;100;300;0.8;4;0.8;221
36885KKKKKKZL;45;100;400;0.8;4;0.95;221
36886KKKKKKZL;45;100;500;0.8;4;1.07;221
36887KKKKKKZL;45;100;600;0.8;4;1.19;221
